id,species_ori,vernacularName,scientificName,taxonRank,type,source_latest_only,species_code_ntu,species_nr,statusTW
515,野鸲,野鴝,Calliope calliope,species,,名錄對照_大肚溪.xlsx(20170977),B0393,605,nonbreeding
516,董雞,董雞,Gallicrex cinerea,species,,名錄對照_大肚溪.xlsx(20170978),B0161,173,breed
517,灰領瓣足鹬,灰瓣足鷸,Phalaropus fulicarius,species,,名錄對照_大肚溪.xlsx(20170979),B0236,252,nonbreeding
518,秧雞,東亞秧雞,Rallus indicus,species,,名錄對照_大肚溪.xlsx(20170980),B0168,165,nonbreeding
519,埃及聖鹮(神聖朱鷺、埃及朱鷺),埃及聖䴉,Threskiornis aethiopicus,species,,名錄對照_大肚溪.xlsx(20170982),B0066,126,introduced
520,白頭錦鸲,黃頭扇尾鶯,Cisticola exilis,species,,名錄對照_大肚溪.xlsx(20170983),B0429,543,breed
521,鷗嘴燕鷗,鷗嘴燕鷗,Gelochelidon nilotica,species,,名錄對照_大肚溪.xlsx(20170984),B0259,293,nonbreeding
522,"磯鷸

黃足鷸",鷸科,Scolopacidae,family,,名錄對照_大肚溪.xlsx(20170985),NA,205,NA
523,黑頭(栗腹)文鳥,黑頭文鳥,Lonchura atricapilla,species,,名錄對照_大肚溪.xlsx(20170986),B0501,744,breed
524,朱頂雀,普通朱頂雀,Acanthis flammea,species,,名錄對照_大肚溪.xlsx(20170987),B0521,729,nonbreeding
525,小辫鴴,小辮鴴,Vanellus vanellus,species,,名錄對照_大肚溪.xlsx(20170988),B0188,192,nonbreeding
526,翠鳥(魚狗),翠鳥,Alcedo atthis,species,,名錄對照_大肚溪.xlsx(20170990),B0307,362,breed
527,埃及白環,埃及聖䴉,Threskiornis aethiopicus,species,,名錄對照_大肚溪.xlsx(20170991),B0066,126,introduced
528,東方鴴,東方環頸鴴,Charadrius alexandrinus,species,,名錄對照_大肚溪.xlsx(20170992),B0178,196,breed
529,諾氏鷸(諸曼氏青足鷸),諾氏鷸,Tringa guttifer,species,,名錄對照_大肚溪.xlsx(20170993),B0220,213,nonbreeding
530,小型鷸鴴科,鴴形目,Charadriiformes sp.,order,,名錄對照_大肚溪.xlsx(20171031),NA,746,NA
531,褐頭(台灣)鷦鶯,褐頭鷦鶯,Prinia inornata,species,,名錄對照_大肚溪.xlsx(20171034),B0442,546,breed
532,水鴨,雁鴨科,Anatidae,family,,名錄對照_大肚溪.xlsx(20171036),NA,1,NA
533,磯雁,紅頭潛鴨,Aythya ferina,species,,名錄對照_大肚溪.xlsx(20171054),B0086,31,nonbreeding
534,埃及朱鷺(聖環),埃及聖䴉,Threskiornis aethiopicus,species,,名錄對照_大肚溪.xlsx(20171061),B0066,126,introduced
535,金鵐,金鵐,Emberiza aureola,species,,名錄對照_大肚溪.xlsx(20171066),B0522,711,nonbreeding
536,黑喉鸲,黑喉鴝,Saxicola maurus,species,,名錄對照_大肚溪.xlsx(20171068),B0402,626,nonbreeding
537,埃及白環(埃及朱鷺),埃及聖䴉,Threskiornis aethiopicus,species,,名錄對照_大肚溪.xlsx(20171070),B0066,126,introduced
538,樹麻雀,麻雀,Passer montanus,species,,名錄對照_大肚溪.xlsx(20171085),B0537,738,breed
539,蘆鵐,蘆鵐,Emberiza schoeniclus,species,,名錄對照_大肚溪.xlsx(20171089),B0531,719,nonbreeding
540,文鳥,梅花雀科,Estrildidae,family,,名錄對照_大肚溪.xlsx(20171090),NA,739,NA
541,黃眉鵐,黃眉鵐,Emberiza chrysophrys,species,,名錄對照_大肚溪.xlsx(20171092),B0524,707,nonbreeding
542,黃尾鸲,黃尾鴝,Phoenicurus auroreus,species,,名錄對照_大肚溪.xlsx(20171095),B0399,623,nonbreeding
543,池鷺(沼鷺),池鷺,Ardeola bacchus,species,,名錄對照_大肚溪.xlsx(20171096),B0040,117,nonbreeding
544,小鷸,小鷸,Lymnocryptes minimus,species,,名錄對照_大肚溪.xlsx(20171098),B0209,244,nonbreeding
545,紅胸鴴,東方紅胸鴴,Charadrius veredus,species,,名錄對照_大肚溪.xlsx(20171101),B0179,200,nonbreeding
546,噪林鳥,灰背椋鳥,Sturnia sinensis,species,,名錄對照_大肚溪.xlsx(20171102),B0487,657,nonbreeding
547,紅鳩、朱頸斑鳩(鳩珠頸、斑鳩),鳩鴿科,Columbidae,family,,名錄對照_大肚溪.xlsx(20171105),NA,305,NA
548,針尾鷸,針尾鷸,Gallinago stenura,species,,名錄對照_大肚溪.xlsx(20171108),B0204,247,nonbreeding
549,小秧雞,小秧雞,Zapornia pusilla,species,,名錄對照_大肚溪.xlsx(20171109),B0165,172,nonbreeding
550,家(眼鏡)八哥,家八哥,Acridotheres tristis,species,,名錄對照_大肚溪.xlsx(20171110),B0482,661,introduced
551,黑頭翡翠,黑頭翡翠,Halcyon pileata,species,,名錄對照_大肚溪.xlsx(20171111),B0309,366,nonbreeding
552,磯雁(紅頭潛鴨),紅頭潛鴨,Aythya ferina,species,,名錄對照_大肚溪.xlsx(20171112),B0086,31,nonbreeding
553,黑頸鸊鷉,黑頸鸊鷉,Podiceps nigricollis,species,,名錄對照_大肚溪.xlsx(20171113),B0006,62,nonbreeding
554,錦鸲(棕扇尾鶯),棕扇尾鶯,Cisticola juncidis,species,,名錄對照_大肚溪.xlsx(20171114),B0430,542,breed
555,小鵪鶉,小鵪鶉,Synoicus chinensis,species,,名錄對照_大肚溪.xlsx(20171115),B0148,44,breed
556,鵪鶉,鵪鶉,Coturnix japonica,species,,名錄對照_大肚溪.xlsx(20171116),B0149,45,nonbreeding
557,鴨子,雁鴨科,Anatidae,family,,名錄對照_大肚溪.xlsx(20171117),NA,1,NA
558,鵐,鵐科,Emberizidae,family,,名錄對照_大肚溪.xlsx(20171118),NA,699,NA
559,鹬鴴,鴴形目,Charadriiformes sp.,order,,名錄對照_大肚溪.xlsx(20171119),NA,746,NA
560,椋鳥,八哥科,Sturnidae,family,,名錄對照_大肚溪.xlsx(20171120),NA,650,NA
561,鷸鴴,鴴形目,Charadriiformes sp.,order,,名錄對照_大肚溪.xlsx(20171121),NA,746,NA
562,楔尾伯勞,楔尾伯勞,Lanius sphenocercus,species,,名錄對照_大肚溪.xlsx(20171122),B0479,412,nonbreeding
563,白尾熱帶鳥,白尾熱帶鳥,Phaethon lepturus,species,,名錄對照_大肚溪.xlsx(20171123),B0024,82,nonbreeding
564,短耳鴞,短耳鴞,Asio flammeus,species,,名錄對照_大肚溪.xlsx(20171124),B0291,349,nonbreeding
565,白鸚鵡,鳳頭鸚鵡科,Cacatuidae sp.,family,,名錄對照_大肚溪.xlsx(20171125),NA,752,introduced
566,白鸚鵡(雪衣娘),鳳頭鸚鵡科,Cacatuidae sp.,family,,名錄對照_大肚溪.xlsx(20171126),NA,752,introduced
567,海鷗,歐亞海鷗,Larus canus,species,,名錄對照_大肚溪.xlsx(20171127),B0244,282,nonbreeding
568,白頭(黑領、鳥領)椋鳥,黑領椋鳥,Gracupica nigricollis,species,,名錄對照_大肚溪.xlsx(20171128),B0484,656,breedKM
569,綠鸚鵡,鸚鵡科,Psittacidae sp.,family,,名錄對照_大肚溪.xlsx(20171129),NA,755,introduced
570,椋鳥(黃眼圈),家八哥,Acridotheres tristis,species,,名錄對照_大肚溪.xlsx(20171130),B0482,661,introduced
571,似灰椋鳥,八哥科,Sturnidae,family,,名錄對照_大肚溪.xlsx(20171131),NA,650,NA
572,野鴨,雁鴨科,Anatidae,family,,名錄對照_大肚溪.xlsx(20171132),NA,1,NA
573,雀鹰(松雀鷹),松雀鷹,Accipiter virgatus,species,,名錄對照_大肚溪.xlsx(20171133),B0111,151,breed
574,隼,遊隼,Falco peregrinus,species,,名錄對照_大肚溪.xlsx(20171134),B0138,390,breed
575,眼綠繡,斯氏繡眼,Zosterops simplex,species,,名錄對照_大肚溪.xlsx(20171135),B0499,558,breed
576,諾氏鷸(諾曼氏青足鷸),諾氏鷸,Tringa guttifer,species,,名錄對照_大肚溪.xlsx(20171136),B0220,213,nonbreeding
577,黃足鹬,黃足鷸,Tringa brevipes,species,,名錄對照_大肚溪.xlsx(20171137),B0217,209,nonbreeding
578,番石鷸,翻石鷸,Arenaria interpres,species,,名錄對照_大肚溪.xlsx(20171138),B0189,224,nonbreeding
579,禾犀鷗,紅胸濱鷸,Calidris ruficollis,species,,名錄對照_大肚溪.xlsx(20171139),B0195,235,nonbreeding
580,白脊鴒,白鶺鴒,Motacilla alba,species,,名錄對照_大肚溪.xlsx(20171140),B0468,681,breed
581,灰脊鴒,灰鶺鴒,Motacilla cinerea,species,,名錄對照_大肚溪.xlsx(20171141),B0469,680,nonbreeding
582,鐵嘴鷸,鐵嘴鴴,Charadrius leschenaultii,species,,名錄對照_大肚溪.xlsx(20171142),B0182,195,nonbreeding
583,錦鴝,棕扇尾鶯,Cisticola juncidis,species,,名錄對照_大肚溪.xlsx(20171143),B0430,542,breed
584,大黑鶺鷗,灰背鷗,Larus schistisagus,species,,名錄對照_大肚溪.xlsx(20171144),B0250,285,nonbreeding
585,白頭錦鴝,黃頭扇尾鶯,Cisticola exilis,species,,名錄對照_大肚溪.xlsx(20171146),B0429,543,breed
586,金班鴴,太平洋金斑鴴,Pluvialis fulva,species,,名錄對照_大肚溪.xlsx(20171147),B0186,191,nonbreeding
587,朱頸斑鳩(珠頸鳩、斑鳩),珠頸斑鳩,Streptopelia chinensis,species,,名錄對照_大肚溪.xlsx(20171148),B0273,312,breed
588,一群鷸,鷸科,Scolopacidae,family,,名錄對照_大肚溪.xlsx(20171149),NA,205,NA
589,"黃鶺鴒

灰鶺鴒",鶺鴒科,Motacillidae,family,,名錄對照_大肚溪.xlsx(20171150),NA,675,NA
590,大雁,雁屬,Anser sp.,genus,,名錄對照_大肚溪.xlsx(20171151),NA,769,NA
591,一群鴨,雁鴨科,Anatidae,family,,名錄對照_大肚溪.xlsx(20171153),NA,1,NA
592,一群鷸鴴,鴴形目,Charadriiformes sp.,order,,名錄對照_大肚溪.xlsx(20171154),NA,746,NA
593,藍歌鴝,藍歌鴝,Larvivora cyane,species,,名錄對照_大肚溪.xlsx(20171155),B0416,600,nonbreeding
594,諾氏鷸,諾氏鷸,Tringa guttifer,species,,名錄對照_大肚溪.xlsx(20171156),B0220,213,nonbreeding
595,泰八哥,大八哥(叢八哥),Acridotheres grandis,species,,名錄對照_大肚溪.xlsx(20171157),B0600,780,introduced
596,歐洲八哥,歐洲椋鳥,Sturnus vulgaris,species,,名錄對照_大肚溪.xlsx(20171158),B0490,652,nonbreeding
597,白喉海燕,海燕科,Hydrobatidae,family,,名錄對照_大肚溪.xlsx(20171159),NA,77,NA
598,黑眼線白鶺鴒,白鶺鴒,Motacilla alba,species,,名錄對照_大肚溪.xlsx(20171160),B0468,681,breed
599,柚黑椋鳥,八哥屬(黑八哥類),Acridotheres sp. (black myna sp.),genus,,名錄對照_大肚溪.xlsx(20171161),NA,756,NA
600,大捲尾,大卷尾,Dicrurus macrocercus,species,,名錄對照_大肚溪.xlsx(20171162),B0335,419,breed
601,粉紅鹦嘴,粉紅鸚嘴,Sinosuthora webbiana,species,,名錄對照_大肚溪.xlsx(20171163),B0353,552,breed
602,眼鏡八哥,家八哥,Acridotheres tristis,species,,名錄對照_大肚溪.xlsx(20171164),B0482,661,introduced
603,翡翠,翠鳥,Alcedo atthis,species,,名錄對照_大肚溪.xlsx(20171165),B0307,362,breed
604,諾氏鷸(諾氏青足鷸),諾氏鷸,Tringa guttifer,species,,名錄對照_大肚溪.xlsx(20171166),B0220,213,nonbreeding
605,翠鳥(魚狗、翡翠),翠鳥,Alcedo atthis,species,,名錄對照_大肚溪.xlsx(20171167),B0307,362,breed
606,鮮卑鷸(東方寬嘴鷸),寬嘴鷸,Calidris falcinellus,species,,名錄對照_大肚溪.xlsx(20171168),B0205,228,nonbreeding
607,鹰斑鷸,鷹斑鷸,Tringa glareola,species,,名錄對照_大肚溪.xlsx(20171169),B0219,216,nonbreeding
608,粉紅鶯嘴,粉紅鸚嘴,Sinosuthora webbiana,species,,名錄對照_大肚溪.xlsx(20171170),B0353,552,breed
609,赤腹鹰,赤腹鷹,Accipiter soloensis,species,,名錄對照_大肚溪.xlsx(20171171),B0112,149,nonbreeding
610,小椋鳥,小椋鳥,Agropsar philippensis,species,,名錄對照_大肚溪.xlsx(20171172),B0486,655,nonbreeding
611,過眼線灰背白鶺鴒,白鶺鴒,Motacilla alba,species,,,B0468,681,breed
612,藍鵲,臺灣藍鵲,Urocissa caerulea,species,,,B0351,431,breed
613,黃鶺鴒複合種,黃鶺鴒複合種,Motacilla flava/tschutschensis,speciesComplex,,,B0471,819,nonbreeding
614,東方白鸛,東方白鸛,Ciconia boyciana,species,,,NA,87,nonbreeding
615,烏鶲,烏鶲,Muscicapa sibirica,species,,,NA,580,nonbreeding
616,黑鸛,黑鸛,Ciconia nigra,species,,,NA,86,nonbreeding
617,長耳鴞,長耳鴞,Asio otus,species,,,NA,348,nonbreeding
618,白腹琉璃,白腹琉璃,Cyanoptila cyanomelana,species,,,NA,592,nonbreeding
619,黑頭白䴉,黑頭白䴉,Threskiornis melanocephalus,species,,,NA,127,nonbreeding
620,戴菊鳥,戴菊鳥,Regulus regulus,species,,,NA,484,nonbreeding
621,穴鳥,穴鳥,Bulweria bulwerii,species,,,NA,70,nonbreeding
622,日本歌鴝,日本歌鴝,Larvivora akahige,species,,,NA,598,nonbreeding
623,紅胸秋沙,紅胸秋沙,Mergus serrator,species,,,NA,41,nonbreeding
624,紅尾鶇,紅尾鶇,Turdus naumanni,species,,,NA,648,nonbreeding
625,麻鷺,麻鷺,Gorsachius goisagi,species,,,NA,122,nonbreeding
626,唐秋沙,唐秋沙,Mergus squamatus,species,,,NA,42,nonbreeding
627,秋小鷺,秋小鷺,Ixobrychus eurhythmus,species,,,NA,104,nonbreeding
628,白斑軍艦鳥,白斑軍艦鳥,Fregata ariel,species,,,NA,90,nonbreeding
629,黃頸黑鷺,黃頸黑鷺,Ixobrychus flavicollis,species,,,NA,106,nonbreeding
630,花澤鵟,花澤鵟,Circus melanoleucos,species,,,NA,147,nonbreeding
631,毛足鵟,毛足鵟,Buteo lagopus,species,,,NA,158,nonbreeding
632,短尾信天翁,短尾信天翁,Phoebastria albatrus,species,,,NA,66,nonbreeding
633,雙眉葦鶯,雙眉葦鶯,Acrocephalus bistrigiceps,species,,,NA,527,nonbreeding
634,林三趾鶉,林三趾鶉,Turnix sylvaticus,species,,,NA,254,breed
635,黃魚鴞,黃魚鴞,Ketupa flavipes,species,,,NA,343,breed
636,金/赤腰燕,金/赤腰燕,Cecropis daurica/striolata,speciesComplex,,,NA,797,breed
637,青頭潛鴨,青頭潛鴨,Aythya baeri,species,,,NA,33,nonbreeding
638,東方角鴞,東方角鴞,Otus sunia,species,,,NA,342,nonbreeding
639,花鵰,花鵰,Clanga clanga,species,,,NA,141,nonbreeding
640,大地鷸,大地鷸,Gallinago hardwickii,species,,,NA,245,nonbreeding
641,羅文鴨,羅文鴨,Mareca falcata,species,,,NA,18,nonbreeding
642,樹鴨,樹鴨,Dendrocygna javanica,species,,,NA,2,nonbreeding
643,草鴞,草鴞,Tyto longimembris,species,,,NA,337,breed
644,黑叉尾海燕,黑叉尾海燕,Oceanodroma monorhis,species,,,NA,79,nonbreeding
645,白肩鵰,白肩鵰,Aquila heliaca,species,,,NA,142,nonbreeding
646,長嘴半蹼鷸,長嘴半蹼鷸,Limnodromus scolopaceus,species,,,NA,242,nonbreeding
647,庫頁島柳鶯,庫頁島柳鶯,Phylloscopus borealoides,species,,,NA,514,nonbreeding
648,虎斑地鶇,白氏/虎斑地鶇,Zoothera aurea/dauma,speciesComplex,,,B0408,788,nonbreeding
649,栗鳶,栗鳶,Haliastur indus,species,,,NA,155,nonbreeding
650,斑椋鳥,斑椋鳥,Gracupica contra,species,,,NA,812,introduced
651,北椋鳥,北椋鳥,Agropsar sturninus,species,,,NA,654,nonbreeding
652,飯島柳鶯,飯島柳鶯,Phylloscopus ijimae,species,,,NA,516,nonbreeding
653,黑喉潛鳥,黑喉潛鳥,Gavia arctica,species,,,NA,54,nonbreeding
654,茅斑蝗鶯,矛斑蝗鶯,Locustella lanceolata,species,,,NA,539,nonbreeding
655,北蝗鶯,北蝗鶯,Locustella ochotensis,species,,,NA,537,nonbreeding
656,紅喉潛鳥,紅喉潛鳥,Gavia stellata,species,,,NA,53,nonbreeding
657,白腹鰹鳥,白腹鰹鳥,Sula leucogaster,species,,,NA,93,nonbreeding
658,冠鸊鷉,冠鸊鷉,Podiceps cristatus,species,,,NA,61,nonbreeding
659,朱連雀,朱連雀,Bombycilla japonica,species,,,NA,695,nonbreeding
660,紅尾熱帶鳥,紅尾熱帶鳥,Phaethon rubricauda,species,,,NA,84,nonbreeding
661,長尾水薙鳥,長尾水薙鳥,Ardenna pacifica,species,,,NA,74,nonbreeding
662,長尾水薙,長尾水薙鳥,Ardenna pacifica,species,,,NA,74,nonbreeding
663,灰雁,灰雁,Anser anser,species,,,NA,8,nonbreeding
664,大水薙鳥,大水薙鳥,Calonectris leucomelas,species,,,NA,72,nonbreeding
665,大水薙,大水薙鳥,Calonectris leucomelas,species,,,NA,72,nonbreeding
666,斑臉海蕃鴨,斑臉海蕃鴨,Melanitta fusca stejnegeri,species,,,NA,813,nonbreeding
667,白眉燕鷗,白眉燕鷗,Onychoprion anaethetus,species,,,NA,290,breed
668,烏領燕鷗,烏領燕鷗,Onychoprion fuscatus,species,,,NA,289,breed
669,紅喉鶲,紅喉鶲,Ficedula albicilla,species,,,NA,617,nonbreeding
670,丹氏鸕鷀,丹氏鸕鷀,Phalacrocorax capillatus,species,,,NA,98,nonbreeding
671,小加拿大雁,小加拿大雁,Branta hutchinsii ,species,,,NA,782,nonbreeding
672,海鸕鷀,海鸕鷀,Phalacrocorax pelagicus,species,,,NA,96,nonbreeding
673,小綠鳩,小綠鳩,Ptilinopus leclancheri,species,,,NA,320,breed
674,小勺鷸,小杓鷸,Numenius minutus,species,,墾丁新年數鳥NYBC,B0212,218,nonbreeding
675,小嘴烏鴉,小嘴烏鴉,Corvus corone,species,,墾丁新年數鳥NYBC,NA,438,nonbreeding
676,小嘴鴉,小嘴烏鴉,Corvus corone,species,,墾丁新年數鳥NYBC,NA,438,nonbreeding
677,寒林豆雁,寒林豆雁,Anser fabalis,species,,,NA,4,nonbreeding
678,凍原豆雁,凍原豆雁,Anser serrirostris,species,,,NA,5,nonbreeding
679,白額雁,白額雁,Anser albifrons,species,,,NA,6,nonbreeding
680,小白額雁,小白額雁,Anser erythropus,species,,,NA,7,nonbreeding
681,黑雁,黑雁,Branta bernicla,species,,,NA,9,nonbreeding
682,疣鼻天鵝,疣鼻天鵝,Cygnus olor,species,,,NA,10,nonbreeding
683,小天鵝,小天鵝,Cygnus columbianus,species,,,NA,11,nonbreeding
684,黃嘴天鵝,黃嘴天鵝,Cygnus cygnus,species,,,NA,12,nonbreeding
685,瀆鳧,瀆鳧,Tadorna ferruginea,species,,,NA,13,nonbreeding
686,棉鴨,棉鴨,Nettapus coromandelianus,species,,,NA,15,nonbreeding
687,葡萄胸鴨,葡萄胸鴨,Mareca americana,species,,,NA,20,nonbreeding
688,呂宋鴨,呂宋鴨,Anas luzonica,species,,,NA,23,nonbreeding
689,赤嘴潛鴨,赤嘴潛鴨,Netta rufina,species,,,NA,29,nonbreeding
690,帆背潛鴨,帆背潛鴨,Aythya valisineria,species,,,NA,30,nonbreeding
691,白眼潛鴨,白眼潛鴨,Aythya nyroca,species,,,NA,32,nonbreeding
692,小斑背潛鴨,小斑背潛鴨,Aythya affinis,species,,,NA,36,nonbreeding
693,長尾鴨,長尾鴨,Clangula hyemalis,species,,,NA,37,nonbreeding
694,鵲鴨,鵲鴨,Bucephala clangula,species,,,NA,38,nonbreeding
695,白秋沙,白秋沙,Mergellus albellus,species,,,NA,39,nonbreeding
696,川秋沙,川秋沙,Mergus merganser,species,,,NA,40,nonbreeding
697,雉科,雉科,Phasianidae,family,,,NA,43,NA
698,潛鳥科,潛鳥科,Gaviidae,family,,,NA,52,NA
699,太平洋潛鳥,太平洋潛鳥,Gavia pacifica,species,,,NA,55,nonbreeding
700,白嘴潛鳥,白嘴潛鳥,Gavia adamsii,species,,,NA,56,nonbreeding
701,鸊鷉科,鸊鷉科,Podicipedidae,family,,,NA,57,NA
702,角鸊鷉,角鸊鷉,Podiceps auritus,species,,,NA,59,nonbreeding
703,赤頸鸊鷉,赤頸鸊鷉,Podiceps grisegena,species,,,NA,60,nonbreeding
704,信天翁科,信天翁科,Diomedeidae,family,,,NA,63,NA
705,黑背信天翁,黑背信天翁,Phoebastria immutabilis,species,,,NA,64,nonbreeding
706,黑腳信天翁,黑腳信天翁,Phoebastria nigripes,species,,,NA,65,nonbreeding
707,鸌科,鸌科,Procellariidae,family,,,NA,67,NA
708,暴風鸌,暴風鸌,Fulmarus glacialis,species,,,NA,68,nonbreeding
709,白腹穴鳥,白腹穴鳥,Pterodroma hypoleuca,species,,,NA,69,nonbreeding
710,黑背白腹穴鳥,黑背白腹穴鳥,Pseudobulweria rostrata,species,,,NA,71,nonbreeding
711,肉足水薙鳥,肉足水薙鳥,Ardenna carneipes,species,,,NA,73,nonbreeding
712,灰水薙鳥,灰水薙鳥,Ardenna grisea,species,,,NA,75,nonbreeding
713,短尾水薙鳥,短尾水薙鳥,Ardenna tenuirostris,species,,,NA,76,nonbreeding
714,白腰叉尾海燕,白腰叉尾海燕,Oceanodroma leucorhoa,species,,,NA,78,nonbreeding
715,褐翅叉尾海燕,褐翅叉尾海燕,Oceanodroma tristrami,species,,,NA,80,nonbreeding
716,熱帶鳥科,熱帶鳥科,Phaethontidae,family,,,NA,81,NA
717,紅嘴熱帶鳥,紅嘴熱帶鳥,Phaethon aethereus,species,,,NA,83,nonbreeding
718,鸛科,鸛科,Ciconiidae,family,,,NA,85,NA
719,軍艦鳥科,軍艦鳥科,Fregatidae,family,,,NA,88,NA
720,軍艦鳥,軍艦鳥,Fregata minor,species,,,NA,89,nonbreeding
721,鰹鳥科,鰹鳥科,Sulidae,family,,,NA,91,NA
722,藍臉鰹鳥,藍臉鰹鳥,Sula dactylatra,species,,,NA,92,nonbreeding
723,紅腳鰹鳥,紅腳鰹鳥,Sula sula,species,,,NA,94,nonbreeding
724,鸕鷀科,鸕鷀科,Phalacrocoracidae,family,,,NA,95,NA
725,鵜鶘科,鵜鶘科,Pelecanidae,family,,,NA,99,NA
726,白臉鷺,白臉鷺,Egretta novaehollandiae,species,,,NA,111,nonbreeding
727,白頸黑鷺,白頸黑鷺,Egretta picata,species,,,NA,115,nonbreeding
728,爪哇池鷺,爪哇池鷺,Ardeola speciosa,species,,,NA,118,nonbreeding
729,棕夜鷺,棕夜鷺,Nycticorax caledonicus,species,,,NA,121,nonbreeding
730,䴉科,䴉科,Threskiornithidae,family,,,NA,124,NA
731,朱鷺,朱鷺,Nipponia nippon,species,,,NA,128,nonbreeding
732,鶚科,鶚科,Pandionidae,family,,,NA,131,NA
733,黑冠鵑隼,黑冠鵑隼,Aviceda leuphotes,species,,,NA,136,nonbreeding
734,禿鷲,禿鷲,Aegypius monachus,species,,,NA,137,nonbreeding
735,白腹鵰,白腹鵰,Aquila fasciata,species,,,NA,143,nonbreeding
736,白尾海鵰,白尾海鵰,Haliaeetus albicilla,species,,,NA,157,nonbreeding
737,大鵟,大鵟,Buteo hemilasius,species,,,NA,160,nonbreeding
738,紅腳秧雞,紅腳秧雞,Rallina fasciata,species,,,NA,162,nonbreeding
739,白眉秧雞,白眉秧雞,Amaurornis cinerea,species,,,NA,167,nonbreeding
740,斑胸秧雞,斑胸秧雞,Porzana porzana,species,,,NA,168,nonbreeding
741,斑脇秧雞,斑脇秧雞,Zapornia paykullii,species,,,NA,170,nonbreeding
742,紅腳苦惡鳥,紅腳苦惡鳥,Zapornia akool,species,,,NA,171,nonbreeding
743,紫水雞,灰頭紫水雞,Porphyrio poliocephalus,species,,,NA,174,nonbreeding
744,鶴科,鶴科,Gruidae,family,,,NA,177,NA
745,簑羽鶴,簑羽鶴,Anthropoides virgo,species,,,NA,178,nonbreeding
746,白鶴,白鶴,Leucogeranus leucogeranus,species,,,NA,179,nonbreeding
747,白枕鶴,白枕鶴,Antigone vipio,species,,,NA,180,nonbreeding
748,灰鶴,灰鶴,Grus grus,species,,,NA,181,nonbreeding
749,白頭鶴,白頭鶴,Grus monacha,species,,,NA,182,nonbreeding
750,丹頂鶴,丹頂鶴,Grus japonensis,species,,,NA,183,nonbreeding
751,長腳鷸科,長腳鷸科,Recurvirostridae,family,,,NA,184,NA
