編碼,中文名,學名,亞種小名,英文名,科名,"臺灣地區遷徙屬性
（蘭嶼：蘭、綠島：綠、
龜山島：龜、本島局部地區：局）",馬祖地區遷徙屬性,金門地區遷徙屬性,東沙島遷徙屬性,特有性,臺灣保育等級
1,樹鴨,Dendrocygna javanica,無亞種分化,Lesser Whistling-Duck,雁鴨科 Anatidae,迷,無,無,迷,,
2,斑頭雁,Anser indicus,無亞種分化,Bar-headed Goose,雁鴨科 Anatidae,迷,無,無,無,,
3,灰雁,Anser anser,rubrirostris,Graylag Goose,雁鴨科 Anatidae,迷,迷,冬、稀,無,,
4,鴻雁,Anser cygnoides,無亞種分化,Swan Goose,雁鴨科 Anatidae,冬、稀,無,冬、稀,無,,
5,白額雁,Anser albifrons,frontalis,Greater White-fronted Goose,雁鴨科 Anatidae,冬、稀,過、稀,冬、稀,迷,,
6,小白額雁,Anser erythropus,無亞種分化,Lesser White-fronted Goose,雁鴨科 Anatidae,過、稀,無,無,無,,
7,寒林豆雁,Anser fabalis,middendorffii,Taiga Bean-Goose,雁鴨科 Anatidae,冬、稀,過、稀,冬、稀,迷,,
8,凍原豆雁,Anser serrirostris,serrirostris,Tundra Bean-Goose,雁鴨科 Anatidae,冬、稀,過、稀,冬、稀,迷,,
9,黑雁,Branta bernicla,nigricans,Brant,雁鴨科 Anatidae,迷,無,無,無,,
10,疣鼻天鵝,Cygnus olor,無亞種分化,Mute Swan,雁鴨科 Anatidae,迷,無,無,無,,
11,小天鵝,Cygnus columbianus,bewickii,Tundra Swan,雁鴨科 Anatidae,冬、稀,無,迷,無,,
12,黃嘴天鵝,Cygnus cygnus,無亞種分化,Whooper Swan,雁鴨科 Anatidae,迷,無,迷,無,,
13,瀆鳧,Tadorna ferruginea,無亞種分化,Ruddy Shelduck,雁鴨科 Anatidae,冬、稀,無,迷,迷,,
14,花鳧,Tadorna tadorna,無亞種分化,Common Shelduck,雁鴨科 Anatidae,冬、稀,無,迷,無,,
15,棉鴨,Nettapus coromandelianus,coromandelianus,Cotton Pygmy-Goose,雁鴨科 Anatidae,冬、稀,迷,迷,迷,,
16,鴛鴦,Aix galericulata,無亞種分化,Mandarin Duck,雁鴨科 Anatidae,留、稀/過、稀,過、稀,過、稀,迷,,II
17,巴鴨,Sibirionetta formosa,無亞種分化,Baikal Teal,雁鴨科 Anatidae,冬、稀,過、稀,過、稀,無,,II
18,白眉鴨,Spatula querquedula,無亞種分化,Garganey,雁鴨科 Anatidae,冬、稀/過、普,過、稀,冬、稀/過、不普,過、不普,,
19,琵嘴鴨,Spatula clypeata,無亞種分化,Northern Shoveler,雁鴨科 Anatidae,冬、普,過、稀,冬、不普,過、普,,
20,赤膀鴨,Mareca strepera,strepera,Gadwall,雁鴨科 Anatidae,冬、不普,過、稀,冬、稀,過、稀,,
21,羅文鴨,Mareca falcata,無亞種分化,Falcated Duck,雁鴨科 Anatidae,冬、稀,過、稀,冬、稀,無,,
22,赤頸鴨,Mareca penelope,無亞種分化,Eurasian Wigeon,雁鴨科 Anatidae,冬、普,過、稀,冬、普,冬、普,,
23,葡萄胸鴨,Mareca americana,無亞種分化,American Wigeon,雁鴨科 Anatidae,迷,無,迷,無,,
24,呂宋鴨,Anas luzonica,無亞種分化,Philippine Duck,雁鴨科 Anatidae,迷,無,無,無,,
25,花嘴鴨,Anas zonorhyncha,無亞種分化,Eastern Spot-billed Duck,雁鴨科 Anatidae,留、普/冬、不普,過、稀,留、普/冬、不普,過、稀,,
26,綠頭鴨,Anas platyrhynchos,platyrhynchos,Mallard,雁鴨科 Anatidae,冬、稀/引進種、不普,過、不普,冬、不普,過、稀,,
27,尖尾鴨,Anas acuta,無亞種分化,Northern Pintail,雁鴨科 Anatidae,冬、普,過、稀,冬、不普,冬、稀/過、不普,,
28,小水鴨,Anas crecca,"crecca, carolinensis",Green-winged Teal,雁鴨科 Anatidae,冬、普,過、不普,冬、普,冬、普,,
29,赤嘴潛鴨,Netta rufina,無亞種分化,Red-crested Pochard,雁鴨科 Anatidae,迷,無,無,無,,
30,帆背潛鴨,Aythya valisineria,無亞種分化,Canvasback,雁鴨科 Anatidae,迷,無,無,無,,
31,紅頭潛鴨,Aythya ferina,無亞種分化,Common Pochard,雁鴨科 Anatidae,冬、稀,過、稀,冬、稀,無,,
32,環頸潛鴨,Aythya collaris,無亞種分化,Ring-necked Duck,雁鴨科 Anatidae,迷,無,無,無,,
33,白眼潛鴨,Aythya nyroca,無亞種分化,Ferruginous Duck,雁鴨科 Anatidae,冬、稀,無,無,無,,
34,青頭潛鴨,Aythya baeri,無亞種分化,Baer's Pochard,雁鴨科 Anatidae,冬、稀,無,迷,無,,II
35,鳳頭潛鴨,Aythya fuligula,無亞種分化,Tufted Duck,雁鴨科 Anatidae,冬、普,過、稀,冬、稀,過、稀,,
36,斑背潛鴨,Aythya marila,marila,Greater Scaup,雁鴨科 Anatidae,冬、稀,無,冬、稀,無,,
37,小斑背潛鴨,Aythya affinis,無亞種分化,Lesser Scaup,雁鴨科 Anatidae,迷,無,無,無,,
38,長尾鴨,Clangula hyemalis,無亞種分化,Long-tailed Duck,雁鴨科 Anatidae,迷,無,無,無,,
39,鵲鴨,Bucephala clangula,clangula,Common Goldeneye,雁鴨科 Anatidae,迷,無,迷,無,,
40,白秋沙,Mergellus albellus,無亞種分化,Smew,雁鴨科 Anatidae,冬、稀,無,無,無,,
41,川秋沙,Mergus merganser,merganser,Common Merganser,雁鴨科 Anatidae,迷,無,迷,無,,
42,紅胸秋沙,Mergus serrator,無亞種分化,Red-breasted Merganser,雁鴨科 Anatidae,冬、稀,過、稀,過、稀,無,,
43,唐秋沙,Mergus squamatus,無亞種分化,Scaly-sided Merganser,雁鴨科 Anatidae,冬、稀,無,無,無,,
44,臺灣山鷓鴣,Arborophila crudigularis,無亞種分化,Taiwan Partridge,雉科 Phasianidae,留、普,無,無,無,臺灣特有種,III
45,黑長尾雉,Syrmaticus mikado,無亞種分化,Mikado Pheasant,雉科 Phasianidae,留、不普,無,無,無,臺灣特有種,II
46,環頸雉,Phasianus colchicus,"formosanus, torquatus, karpowi",Ring-necked Pheasant,雉科 Phasianidae,留、稀/引進種、不普,無,引進種、普,無,含臺灣特有亞種(P. c. formosanus),II
47,藍腹鷴,Lophura swinhoii,無亞種分化,Swinhoe's Pheasant,雉科 Phasianidae,留、不普,無,無,無,臺灣特有種,II
48,藍孔雀,Pavo cristatus,無亞種分化,Indian Peafowl,雉科 Phasianidae,無,無,引進種、普,無,,
49,臺灣竹雞,Bambusicola sonorivox,無亞種分化,Taiwan Bamboo-Partridge,雉科 Phasianidae,留、普,無,無,無,臺灣特有種,
50,小鵪鶉,Synoicus chinensis,chinensis,Blue-breasted Quail,雉科 Phasianidae,留、稀,無,無,無,,II
51,鵪鶉,Coturnix japonica,無亞種分化,Japanese Quail,雉科 Phasianidae,過、稀,過、稀,冬、稀/過、稀,過、稀,,
52,小鸊鷉,Tachybaptus ruficollis,poggei,Little Grebe,鸊鷉科 Podicipedidae,留、普/冬、普,留、稀/過、不普,留、普,過、不普,,
53,角鸊鷉,Podiceps auritus,auritus,Horned Grebe,鸊鷉科 Podicipedidae,迷,過、稀,迷,無,,
54,赤頸鸊鷉,Podiceps grisegena,holbollii,Red-necked Grebe,鸊鷉科 Podicipedidae,無,迷,無,迷,,
55,冠鸊鷉,Podiceps cristatus,cristatus,Great Crested Grebe,鸊鷉科 Podicipedidae,冬、稀,過、稀,冬、普,無,,
56,黑頸鸊鷉,Podiceps nigricollis,nigricollis,Eared Grebe,鸊鷉科 Podicipedidae,冬、稀,過、稀,冬、稀,無,,
57,野鴿,Columba livia,廣泛雜交，無法區分亞種,Rock Pigeon,鳩鴿科 Columbidae,引進種、普,引進種、稀,引進種、普,無,,
58,灰林鴿,Columba pulchricollis,無亞種分化,Ashy Wood-Pigeon,鳩鴿科 Columbidae,留、不普,無,無,無,,
59,黑林鴿,Columba janthina,?,Japanese Wood-Pigeon,鳩鴿科 Columbidae,迷,迷,?,無,,
60,白喉林鴿,Columba vitiensis,?,Metallic Pigeon,鳩鴿科 Columbidae,迷,無,無,無,,
61,金背鳩,Streptopelia orientalis,"orii, orientalis",Oriental Turtle-Dove,鳩鴿科 Columbidae,留、普(orii)/過、稀,過、不普,冬、不普,冬、普/過、普,含臺灣特有亞種(S. o. orii),
62,灰斑鳩,Streptopelia decaocto,無亞種分化,Eurasian Collared-Dove,鳩鴿科 Columbidae,引進種、稀,無,迷,迷,,
63,紅鳩,Streptopelia tranquebarica,humilis,Red Collared-Dove,鳩鴿科 Columbidae,留、普,過、不普,留、普,過、稀,,
64,珠頸斑鳩,Spilopelia chinensis,chinensis,Spotted Dove,鳩鴿科 Columbidae,留、普,留、普,留、普,過、稀,,
65,斑尾鵑鳩,Macropygia unchall,minor,Barred Cuckoo-Dove,鳩鴿科 Columbidae,迷,迷,過、稀,無,,
66,長尾鳩,Macropygia tenuirostris,septentrionalis,Philippine Cuckoo-Dove,鳩鴿科 Columbidae,留、蘭不普,無,無,無,,III
67,翠翼鳩,Chalcophaps indica,indica,Asian Emerald Dove,鳩鴿科 Columbidae,留、普,無,迷,迷,,
68,斑馬鳩,Geopelia striata,無亞種分化,Zebra Dove,鳩鴿科 Columbidae,引進種、局不普,無,無,無,,
69,橙胸綠鳩,Treron bicinctus,domvilii,Orange-breasted Green-Pigeon,鳩鴿科 Columbidae,歷史紀錄,無,迷,無,,
70,厚嘴綠鳩,Treron curvirostra,無亞種分化,Thick-billed Green-Pigeon,鳩鴿科 Columbidae,無,迷,無,無,,
71,綠鳩,Treron sieboldii,sieboldii,White-bellied Green-Pigeon,鳩鴿科 Columbidae,留、普,迷,迷,無,,
72,紅頭綠鳩,Treron formosae,"formosae, medioximus(?)",Whistling Green-Pigeon,鳩鴿科 Columbidae,留、稀,迷,?,迷,含臺灣特有亞種(T. f. formosae),II
73,小綠鳩,Ptilinopus leclancheri,longialis,Black-chinned Fruit-Dove,鳩鴿科 Columbidae,冬、稀,無,無,無,,
74,褐翅鴉鵑,Centropus sinensis,sinensis,Greater Coucal,杜鵑科 Cuculidae,無,留、不普,留、普,無,,
75,番鵑,Centropus bengalensis,lignator,Lesser Coucal,杜鵑科 Cuculidae,留、普,過、稀,留、稀,迷,,
76,冠郭公,Clamator coromandus,無亞種分化,Chestnut-winged Cuckoo,杜鵑科 Cuculidae,過、稀,過、稀,夏、稀/過、不普,過、稀,,
77,斑翅鳳頭鵑,Clamator jacobinus,pica,Pied Cuckoo,杜鵑科 Cuculidae,迷,無,無,無,,
78,噪鵑,Eudynamys scolopaceus,chinensis,Asian Koel,杜鵑科 Cuculidae,夏、稀/過、稀,過、不普,留、稀/夏、普,過、普,,
79,八聲杜鵑,Cacomantis merulinus,querulus,Plaintive Cuckoo,杜鵑科 Cuculidae,過、稀,過、稀,夏、稀/過、稀,過、不普,,
80,方尾烏鵑,Surniculus lugubris,barussarum,Square-tailed Drongo-Cuckoo,杜鵑科 Cuculidae,迷,過、稀,過、稀,過、稀,,
81,鷹鵑,Hierococcyx sparverioides,無亞種分化,Large Hawk-Cuckoo,杜鵑科 Cuculidae,夏、普,過、稀,過、稀,過、稀,,
82,北方鷹鵑,Hierococcyx hyperythrus,無亞種分化,Northern Hawk-Cuckoo,杜鵑科 Cuculidae,迷,過、稀,無,過、稀,,
83,棕腹鷹鵑,Hierococcyx nisicolor,無亞種分化,Hodgson's Hawk-Cuckoo,杜鵑科 Cuculidae,迷,過、稀,無,迷,,
84,小杜鵑,Cuculus poliocephalus,無亞種分化,Lesser Cuckoo,杜鵑科 Cuculidae,過、稀,過、稀,過、稀,過、稀,,
85,四聲杜鵑,Cuculus micropterus,micropterus,Indian Cuckoo,杜鵑科 Cuculidae,過、稀,過、稀,夏、不普/過、不普,過、不普,,
86,大杜鵑,Cuculus canorus,canorus,Common Cuckoo,杜鵑科 Cuculidae,過、稀,過、稀,過、稀,過、稀,,
87,北方中杜鵑,Cuculus optatus,無亞種分化,Oriental Cuckoo,杜鵑科 Cuculidae,夏、普,過、不普,夏、稀/過、不普,過、不普,,
88,普通夜鷹,Caprimulgus jotaka,jotaka,Gray Nightjar,夜鷹科 Caprimulgidae,過、稀,過、稀,過、稀,過、稀,,
89,南亞夜鷹,Caprimulgus affinis,"stictomus, amoyensis",Savanna Nightjar,夜鷹科 Caprimulgidae,留、普,過、稀,過、稀,無,含臺灣特有亞種(C. a. stictomus),
90,白喉針尾雨燕,Hirundapus caudacutus,caudacutus,White-throated Needletail,雨燕科 Apodidae,過、稀,過、稀,過、稀,過、稀,,
91,灰喉針尾雨燕,Hirundapus cochinchinensis,formosanus,Silver-backed Needletail,雨燕科 Apodidae,留、不普,過、稀,迷,過、稀,臺灣特有亞種(H. c. formosanus),
92,紫針尾雨燕,Hirundapus celebensis,無亞種分化,Purple Needletail,雨燕科 Apodidae,迷,無,無,無,,
93,短嘴金絲燕,Aerodramus brevirostris,innominatus,Himalayan Swiftlet,雨燕科 Apodidae,?,?,?,過、稀,,
94,叉尾雨燕,Apus pacificus,"pacificus, kurodae",Pacific Swift,雨燕科 Apodidae,過、不普,夏、普,過、稀,過、不普,,
95,小雨燕,Apus nipalensis,kuntzi,House Swift,雨燕科 Apodidae,留、普,留、不普,留、普,過、稀,臺灣特有亞種(A. n. kuntzi),
96,西方秧雞,Rallus aquaticus,korejewi,Water Rail,秧雞科 Rallidae,迷,無,無,無,,
97,東亞秧雞,Rallus indicus,無亞種分化,Brown-cheeked Rail,秧雞科 Rallidae,冬、稀,過、稀,過、稀,無,,
98,灰胸秧雞,Lewinia striata,"taiwana, jouyi",Slaty-breasted Rail,秧雞科 Rallidae,留、不普,迷,?,無,含臺灣特有亞種(L. s. taiwana),
99,斑胸秧雞,Porzana porzana,無亞種分化,Spotted Crake,秧雞科 Rallidae,迷,無,無,無,,
100,紅冠水雞,Gallinula chloropus,chloropus,Eurasian Moorhen,秧雞科 Rallidae,留、普,過、不普,留、普,過、不普,,
101,白冠雞,Fulica atra,atra,Eurasian Coot,秧雞科 Rallidae,冬、不普,過、稀,冬、普,過、不普,,
102,灰頭紫水雞,Porphyrio poliocephalus,viridis,Gray-headed Swamphen,秧雞科 Rallidae,無,無,冬、稀,無,,
103,白眉秧雞,Poliolimnas cinereus,無亞種分化,White-browed Crake,秧雞科 Rallidae,迷,迷,無,過、稀,,
104,董雞,Gallicrex cinerea,無亞種分化,Watercock,秧雞科 Rallidae,留、稀/夏、稀,過、稀,過、稀,過、稀,,III
105,白腹秧雞,Amaurornis phoenicurus,"phoenicurus, leucomelana",White-breasted Waterhen,秧雞科 Rallidae,留、普,留、不普,留、普,留、普,,
106,紅腳秧雞,Rallina fasciata,無亞種分化,Red-legged Crake,秧雞科 Rallidae,迷,迷,無,無,,
107,灰腳秧雞,Rallina eurizonoides,formosana,Slaty-legged Crake,秧雞科 Rallidae,留、不普,無,迷,迷,臺灣特有亞種(R. e. formosana),
108,緋秧雞,Zapornia fusca,erythrothorax,Ruddy-breasted Crake,秧雞科 Rallidae,留、普,過、稀,過、稀,無,,
109,斑脇秧雞,Zapornia paykullii,無亞種分化,Band-bellied Crake,秧雞科 Rallidae,迷,迷,無,無,,
110,紅腳苦惡鳥,Zapornia akool,coccineipes,Brown Crake,秧雞科 Rallidae,無,過、稀,迷,無,,
111,小秧雞,Zapornia pusilla,pusilla,Baillon's Crake,秧雞科 Rallidae,冬、稀,過、稀,過、稀,過、稀,,
112,簑羽鶴,Anthropoides virgo,無亞種分化,Demoiselle Crane,鶴科 Gruidae,迷,迷,無,無,,II
113,白鶴,Leucogeranus leucogeranus,無亞種分化,Siberian Crane,鶴科 Gruidae,迷,無,無,無,,I
114,沙丘鶴,Antigone canadensis,canadensis,Sandhill Crane,鶴科 Gruidae,迷,無,無,無,,II
115,白枕鶴,Antigone vipio,無亞種分化,White-naped Crane,鶴科 Gruidae,迷,無,無,無,,I
116,灰鶴,Grus grus,無亞種分化,Common Crane,鶴科 Gruidae,迷,無,無,無,,II
117,白頭鶴,Grus monacha,無亞種分化,Hooded Crane,鶴科 Gruidae,迷,迷,無,無,,I
118,丹頂鶴,Grus japonensis,無亞種分化,Red-crowned Crane,鶴科 Gruidae,迷,無,無,無,,I
119,高蹺鴴,Himantopus himantopus,無亞種分化,Black-winged Stilt,長腳鷸科 Recurvirostridae,留、普/冬、普,過、不普,留、不普/冬、不普/過、不普,過、普,,
120,黑領高蹺鴴,Himantopus leucocephalus,無亞種分化,Pied Stilt,長腳鷸科 Recurvirostridae,迷,無,無,無,,
121,反嘴鴴,Recurvirostra avosetta,無亞種分化,Pied Avocet,長腳鷸科 Recurvirostridae,冬、普,過、稀,冬、稀/過、稀,過、稀,,
122,蠣鴴,Haematopus ostralegus,osculans,Eurasian Oystercatcher,蠣鷸科 Haematopodidae,迷,夏、稀,留、不普/冬、普,無,,
123,灰斑鴴,Pluvialis squatarola,無亞種分化,Black-bellied Plover,鴴科 Charadriidae,冬、普,過、稀,冬、普,冬、普/過、普,,
124,太平洋金斑鴴,Pluvialis fulva,無亞種分化,Pacific Golden-Plover,鴴科 Charadriidae,冬、普,過、不普,冬、不普/過、不普,冬、普/過、普,,
125,小辮鴴,Vanellus vanellus,無亞種分化,Northern Lapwing,鴴科 Charadriidae,冬、不普,過、稀,過、稀,冬、不普,,
126,跳鴴,Vanellus cinereus,無亞種分化,Gray-headed Lapwing,鴴科 Charadriidae,冬、稀/過、稀,過、稀,過、稀,過、稀,,
127,蒙古鴴,Charadrius mongolus,"mongolus, stegmanni",Lesser Sand-Plover,鴴科 Charadriidae,冬、不普/過、普,過、稀,冬、不普/過、不普,冬、普/過、普,,
128,鐵嘴鴴,Charadrius leschenaultii,leschenaultii,Greater Sand-Plover,鴴科 Charadriidae,冬、不普/過、普,過、不普,冬、普/過、普,冬、普/過、普,,
129,東方環頸鴴,Charadrius alexandrinus,"alexandrinus, nihonensis",Kentish Plover,鴴科 Charadriidae,留、不普/冬、普,留、不普/過、普,留、不普/冬、普,冬、普/過、普,,
130,白臉鴴,Charadrius dealbatus,無亞種分化,White-faced Plover,鴴科 Charadriidae,無,無,夏、不普,無,,
131,環頸鴴,Charadrius hiaticula,tundrae,Common Ringed Plover,鴴科 Charadriidae,冬、稀/過、稀,無,無,過、稀,,
132,劍鴴,Charadrius placidus,無亞種分化,Long-billed Plover,鴴科 Charadriidae,冬、稀,無,過、稀,無,,
133,小環頸鴴,Charadrius dubius,curonicus,Little Ringed Plover,鴴科 Charadriidae,留、不普/冬、普,過、不普,留、不普/冬、不普/過、普,冬、不普/過、普,,
134,東方紅胸鴴,Charadrius veredus,無亞種分化,Oriental Plover,鴴科 Charadriidae,過、稀,過、稀,過、稀,過、稀,,
135,彩鷸,Rostratula benghalensis,無亞種分化,Greater Painted-Snipe,彩鷸科 Rostratulidae,留、普,過、稀,冬、稀,迷,,II
136,水雉,Hydrophasianus chirurgus,無亞種分化,Pheasant-tailed Jacana,水雉科 Jacanidae,留、不普/過、稀,過、稀,過、稀,迷,,II
137,中杓鷸,Numenius phaeopus,"variegatus, hudsonicus",Whimbrel,鷸科 Scolopacidae,冬、不普/過、普,過、稀,冬、普/過、普,冬、普/過、普,,
138,小杓鷸,Numenius minutus,無亞種分化,Little Curlew,鷸科 Scolopacidae,過、不普,過、稀,過、稀,過、稀,,
139,黦鷸,Numenius madagascariensis,無亞種分化,Far Eastern Curlew,鷸科 Scolopacidae,冬、稀/過、不普,過、稀,冬、稀/過、稀,過、稀,,III
140,大杓鷸,Numenius arquata,orientalis,Eurasian Curlew,鷸科 Scolopacidae,冬、不普,過、稀,冬、普,過、稀,,III
141,斑尾鷸,Limosa lapponica,"baueri, menzbieri",Bar-tailed Godwit,鷸科 Scolopacidae,冬、稀/過、不普,過、稀,冬、稀/過、不普,過、不普,,
142,黑尾鷸,Limosa limosa,melanuroides,Black-tailed Godwit,鷸科 Scolopacidae,冬、稀/過、不普,過、稀,過、稀,過、稀,,III
143,翻石鷸,Arenaria interpres,interpres,Ruddy Turnstone,鷸科 Scolopacidae,冬、普/過、普,過、稀,冬、普/過、普,冬、普/過、普,,
144,大濱鷸,Calidris tenuirostris,無亞種分化,Great Knot,鷸科 Scolopacidae,冬、稀/過、不普,過、稀,過、不普,過、稀,,III
145,紅腹濱鷸,Calidris canutus,"rogersi, piersmai",Red Knot,鷸科 Scolopacidae,冬、稀/過、不普,過、稀,過、稀,過、稀,,III
146,流蘇鷸,Calidris pugnax,無亞種分化,Ruff,鷸科 Scolopacidae,冬、稀,過、稀,過、稀,過、稀,,
147,寬嘴鷸,Calidris falcinellus,sibirica,Broad-billed Sandpiper,鷸科 Scolopacidae,過、不普,過、稀,過、不普,過、稀,,
148,尖尾濱鷸,Calidris acuminata,無亞種分化,Sharp-tailed Sandpiper,鷸科 Scolopacidae,過、普,過、不普,過、不普,過、普,,
149,高蹺濱鷸,Calidris himantopus,無亞種分化,Stilt Sandpiper,鷸科 Scolopacidae,迷,無,無,無,,
150,彎嘴濱鷸,Calidris ferruginea,無亞種分化,Curlew Sandpiper,鷸科 Scolopacidae,冬、稀/過、普,過、稀,過、不普,過、普,,
151,丹氏濱鷸,Calidris temminckii,無亞種分化,Temminck's Stint,鷸科 Scolopacidae,冬、稀,過、稀,冬、稀/過、稀,過、稀,,
152,長趾濱鷸,Calidris subminuta,無亞種分化,Long-toed Stint,鷸科 Scolopacidae,冬、不普,過、不普,過、稀,過、普,,
153,琵嘴鷸,Calidris pygmaea,無亞種分化,Spoon-billed Sandpiper,鷸科 Scolopacidae,過、稀,無,過、稀,迷,,II
154,紅胸濱鷸,Calidris ruficollis,無亞種分化,Red-necked Stint,鷸科 Scolopacidae,冬、普,過、不普,冬、不普/過、普,冬、稀/過、普,,
155,三趾濱鷸,Calidris alba,無亞種分化,Sanderling,鷸科 Scolopacidae,冬、不普,過、不普,冬、普/過、普,冬、不普/過、不普,,
156,黑腹濱鷸,Calidris alpina,"sakhalina, kistchinski, actites, arcticola",Dunlin,鷸科 Scolopacidae,冬、普,過、不普,冬、普/過、普,冬、不普/過、不普,,
157,小濱鷸,Calidris minuta,無亞種分化,Little Stint,鷸科 Scolopacidae,冬、稀/過、稀,過、稀,過、稀,過、稀,,
158,黃胸鷸,Calidris subruficollis,無亞種分化,Buff-breasted Sandpiper,鷸科 Scolopacidae,迷,無,迷,無,,
159,美洲尖尾濱鷸,Calidris melanotos,無亞種分化,Pectoral Sandpiper,鷸科 Scolopacidae,過、稀,過、稀,無,迷,,
160,西濱鷸,Calidris mauri,無亞種分化,Western Sandpiper,鷸科 Scolopacidae,迷,無,無,無,,
161,半蹼鷸,Limnodromus semipalmatus,無亞種分化,Asian Dowitcher,鷸科 Scolopacidae,過、稀,過、稀,過、稀,過、稀,,III
162,長嘴半蹼鷸,Limnodromus scolopaceus,無亞種分化,Long-billed Dowitcher,鷸科 Scolopacidae,冬、稀,無,迷,迷,,
163,小鷸,Lymnocryptes minimus,無亞種分化,Jack Snipe,鷸科 Scolopacidae,迷,無,無,無,,
164,山鷸,Scolopax rusticola,無亞種分化,Eurasian Woodcock,鷸科 Scolopacidae,冬、不普,過、不普,冬、稀/過、稀,過、不普,,
165,孤田鷸,Gallinago solitaria,japonica,Solitary Snipe,鷸科 Scolopacidae,迷,無,無,無,,
166,大地鷸,Gallinago hardwickii,無亞種分化,Latham's Snipe,鷸科 Scolopacidae,迷,過、稀,無,過、稀,,
167,田鷸,Gallinago gallinago,gallinago,Common Snipe,鷸科 Scolopacidae,冬、普,過、不普,冬、不普,冬、稀/過、普,,
168,針尾鷸,Gallinago stenura,無亞種分化,Pin-tailed Snipe,鷸科 Scolopacidae,冬、稀/過、普,過、稀,過、稀,過、普,,
169,中地鷸,Gallinago megala,無亞種分化,Swinhoe's Snipe,鷸科 Scolopacidae,冬、稀/過、普,過、稀,過、稀,過、普,,
170,反嘴鷸,Xenus cinereus,無亞種分化,Terek Sandpiper,鷸科 Scolopacidae,過、不普,過、稀,冬、稀/過、不普,過、不普,,
171,紅領瓣足鷸,Phalaropus lobatus,無亞種分化,Red-necked Phalarope,鷸科 Scolopacidae,過、普,過、普,過、不普,過、稀,,
172,灰瓣足鷸,Phalaropus fulicarius,無亞種分化,Red Phalarope,鷸科 Scolopacidae,過、稀,過、稀,過、稀,無,,
173,磯鷸,Actitis hypoleucos,無亞種分化,Common Sandpiper,鷸科 Scolopacidae,冬、普,冬、普/過、普,冬、普/過、普,冬、稀/過、普,,
174,白腰草鷸,Tringa ochropus,無亞種分化,Green Sandpiper,鷸科 Scolopacidae,冬、不普,過、不普,冬、不普,過、稀,,
175,黃足鷸,Tringa brevipes,無亞種分化,Gray-tailed Tattler,鷸科 Scolopacidae,過、普,過、不普,冬、稀/過、普,冬、普/過、普,,
176,美洲黃足鷸,Tringa incana,無亞種分化,Wandering Tattler,鷸科 Scolopacidae,迷,無,無,無,,
177,鶴鷸,Tringa erythropus,無亞種分化,Spotted Redshank,鷸科 Scolopacidae,冬、稀,過、稀,冬、不普/過、稀,過、稀,,
